Timestamp,open,high,low,volume,close,Date
2011-08-19,10.9,10.9,10.9,0,10.9,2011-08-19
2011-08-20,11.85,11.85,11.15,1,11.69,2011-08-20
2011-08-21,11.7,11.7,11.7,0,11.7,2011-08-21
2011-08-22,11.7,11.7,11.7,0,11.7,2011-08-22
2011-08-23,11.7,11.7,11.7,0,11.7,2011-08-23
2011-08-25,11.5,11.5,10.5,2,10.5,2011-08-25
2011-08-26,10.0,10.0,10.0,1,10.0,2011-08-26
2011-08-31,8.0,8.0,8.0,1,8.0,2011-08-31
2011-09-02,8.0,8.31,5.25,164,8.22,2011-09-02
2011-09-03,8.12,8.88,8.0,79,8.88,2011-09-03
2011-09-05,8.89,8.89,8.89,0,8.89,2011-09-05
2011-09-07,8.0,8.0,8.0,21,8.0,2011-09-07
2011-09-08,8.5,8.5,8.5,3,8.5,2011-09-08
2011-09-09,7.98,7.98,7.4,6,7.4,2011-09-09
2011-09-14,5.8,6.0,5.65,58,5.97,2011-09-14
2011-09-15,5.58,5.72,5.52,61,5.53,2011-09-15
2011-09-16,5.12,5.24,5.0,80,5.13,2011-09-16
2011-09-17,4.82,4.87,4.8,39,4.85,2011-09-17
2011-09-18,4.87,4.87,4.87,0,4.87,2011-09-18
2011-09-19,4.87,4.92,4.81,119,4.92,2011-09-19
2011-09-20,4.9,4.9,4.9,20,4.9,2011-09-20
2011-09-21,4.92,5.66,4.92,89,5.66,2011-09-21
2011-09-22,5.7,5.79,5.66,17,5.66,2011-09-22
2011-09-23,5.68,5.72,5.68,43,5.72,2011-09-23
2011-09-24,5.7,5.72,5.7,20,5.72,2011-09-24
2011-09-25,5.7,5.76,5.68,90,5.68,2011-09-25
2011-09-26,6.05,6.05,6.05,12,6.05,2011-09-26
2011-09-27,6.06,6.06,4.8,39,4.8,2011-09-27
2011-09-28,4.85,4.92,4.85,24,4.92,2011-09-28
2011-09-29,4.9,4.91,4.82,83,4.82,2011-09-29
2011-09-30,4.81,4.82,4.81,46,4.82,2011-09-30
2011-10-04,4.85,4.87,4.83,30,4.87,2011-10-04
2011-10-05,4.86,5.3,4.8,142,4.98,2011-10-05
2011-10-06,4.92,6.25,4.8,113,4.92,2011-10-06
2011-10-07,4.88,4.99,4.8,170,4.8,2011-10-07
2011-10-08,4.8,4.81,4.59,94,4.61,2011-10-08
2011-10-09,4.57,4.57,3.99,56,3.99,2011-10-09
2011-10-10,3.89,3.89,3.89,11,3.89,2011-10-10
2011-10-11,3.99,4.51,3.99,132,4.51,2011-10-11
2011-10-12,3.98,4.1,3.98,78,4.1,2011-10-12
2011-10-13,3.95,3.99,3.93,79,3.93,2011-10-13
2011-10-14,3.93,3.97,3.93,109,3.97,2011-10-14
2011-10-15,4.05,4.05,4.05,96,4.05,2011-10-15
2011-10-18,3.92,3.92,3.92,10,3.92,2011-10-18
2011-10-21,2.22,2.29,2.22,61,2.24,2011-10-21
2011-10-22,2.22,2.27,2.22,41,2.27,2011-10-22
2011-10-25,2.99,2.99,2.92,64,2.92,2011-10-25
2011-10-26,2.66,2.72,2.66,130,2.72,2011-10-26
2011-10-27,2.72,3.0,2.67,268,2.69,2011-10-27
2011-10-29,3.07,4.36,3.07,118,4.2,2011-10-29
2011-10-30,3.69,4.4,3.69,88,3.95,2011-10-30
2011-10-31,3.85,3.85,3.2,116,3.5,2011-10-31
